;date;n_sick;calls;n_duty;n_sby;sby_need;dafted
count;1152;1152,0;1152,0;1152,0;1152,0;1152,0;1152,0
mean;2017-10-28 12:00:00;68,80815972222223;7919,53125;1820,5729166666667;90,0;34,71875;16,3359375
min;2016-04-01 00:00:00;36,0;4074,0;1700,0;90,0;0,0;0,0
25%;2017-01-13 18:00:00;58,0;6978,0;1800,0;90,0;0,0;0,0
50%;2017-10-28 12:00:00;68,0;7932,0;1800,0;90,0;0,0;0,0
75%;2018-08-12 06:00:00;78,0;8827,5;1900,0;90,0;12,25;0,0
max;2019-05-27 00:00:00;119,0;11850,0;1900,0;90,0;555,0;465,0
std;;14,293941754941754;1290,0635706812218;80,08695250103828;0,0;79,6942510683482;53,39408909996039
